epoch	train_loss	val_loss	val_acc	f1score	recall	precision	time
11	110.23	119.864	78.029	78.029	0.78	0.78	2017_1q_reduced
12	107.944	120.142	77.639	77.639	0.776	0.776	2017_1q_reduced
13	104.593	120.408	77.712	77.712	0.777	0.777	2017_1q_reduced
14	102.595	118.967	78.228	78.228	0.782	0.782	2017_1q_reduced
15	100.301	118.434	78.309	78.309	0.783	0.783	2017_1q_reduced
16	97.331	119.056	78.501	78.501	0.785	0.785	2017_1q_reduced
17	94.598	119.084	78.457	78.457	0.785	0.785	2017_1q_reduced
18	93.144	119.681	78.611	78.611	0.786	0.786	2017_1q_reduced
1	153.833	142.657	71.803	71.803	0.718	0.718	2017_2q_reduced
2	144.655	139.876	72.35	72.35	0.723	0.723	2017_2q_reduced
3	141.238	137.268	73.011	73.011	0.73	0.73	2017_2q_reduced
4	137.45	135.363	73.245	73.245	0.732	0.732	2017_2q_reduced
5	134.798	133.461	73.72	73.72	0.737	0.737	2017_2q_reduced
6	132.151	132.402	73.822	73.822	0.738	0.738	2017_2q_reduced
7	129.531	130.427	74.423	74.423	0.744	0.744	2017_2q_reduced
8	125.857	129.509	74.573	74.573	0.746	0.746	2017_2q_reduced
9	122.856	127.389	75.409	75.409	0.754	0.754	2017_2q_reduced
10	119.833	126.471	75.421	75.421	0.754	0.754	2017_2q_reduced
11	117.243	126.502	75.523	75.523	0.755	0.755	2017_2q_reduced
12	114.991	126.56	75.721	75.721	0.757	0.757	2017_2q_reduced
13	111.934	125.508	75.956	75.956	0.76	0.76	2017_2q_reduced
14	109.82	126.127	76.1	76.1	0.761	0.761	2017_2q_reduced
15	108.042	126.14	75.907	75.907	0.759	0.759	2017_2q_reduced
16	105.63	126.655	76.052	76.052	0.761	0.761	2017_2q_reduced
