coef_d	feat_d	coef_r	feat_r	section	model	acc_d	acc_r	acc_all	recall	f1	support
-15.1248	116th	-6.206	hearing	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	118	-6.22332	students	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	11m	-6.22688	time	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	120	-6.22849	birthday	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	120th	-6.25091	people	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	121st	-6.26519	good	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	125	-6.28293	read	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	125k	-6.31338	service	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	1270am	-6.33843	tune	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	127k	-6.35923	obama	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	12am	-6.36613	meeting	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	12k	-6.3667	congrats	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	12m	-6.3928	honor	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	12th	-6.39954	american	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	130m	-6.4067	icymi	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	130s	-6.41641	nation	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	133rd	-6.41748	passed	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	138m	-6.42111	need	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	13b	-6.44421	va	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	13k	-6.45715	new	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	13x	-6.47237	enjoyed	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	142m	-6.47329	join	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	14m	-6.49022	discuss	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	14x	-6.51679	stop	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	150k	-6.52375	congress	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	150m	-6.52513	national	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	151k	-6.53552	law	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	151st	-6.54258	military	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	152	-6.55507	dc	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	155	-6.5639	legislation	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-14.09617	00k	-2.38357	today	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	1	-2.7434	great	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	2	-3.17021	thanks	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	53	-3.21434	thank	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	600	-3.29657	help	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	100blackwomen	-3.41563	house	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	100m	-3.44597	day	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	100mil	-3.4531	senate	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	100s	-3.53773	support	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	100thanniversary	-3.54555	act	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	101st	-3.56405	work	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	1040	-3.56939	happy	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	105	-3.61604	proud	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	106k	-3.70407	office	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	107m	-3.71332	week	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	10a	-3.71332	time	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
-14.09617	10milerun	-3.71953	live	2016_2q	BernoulliNB	0.81	0.76	0.78	0.78	0.78	12059
